,shortName,sector,industry
AAPL,Apple Inc.,Technology,Consumer Electronics
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
BAC,Bank of America Corporation,Financial Services,Banks - Diversified
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
HOG,"Harley-Davidson, Inc.",Consumer Cyclical,Recreational Vehicles
HON,Honeywell International Inc.,Industrials,Conglomerates
HPQ,HP Inc.,Technology,Computer Hardware
IBM,International Business Machines,Technology,Information Technology Services
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic
MS,Morgan Stanley,Financial Services,Capital Markets
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric
NVDA,NVIDIA Corporation,Technology,Semiconductors
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial
SONY,Sony Group Corporation,Technology,Consumer Electronics
T,AT&T Inc.,Communication Services,Telecom Services
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans
VZ,Verizon Communications Inc.,Communication Services,Telecom Services
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated
